source,dataset_id,indicator_id,indicator_name,geo_id,geo_name,period,period_type,value,unit,dimensions,source_url,retrieved_at,quality_flags
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,,385 миллион рублей,"{'Вид цены': '\n8 Постоянные цены 2011 года', 'Период': '54 I квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,,385 миллион рублей,"{'Вид цены': '\n8 Постоянные цены 2011 года', 'Период': '56 II квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,,385 миллион рублей,"{'Вид цены': '\n8 Постоянные цены 2011 года', 'Период': '58 III квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,,385 миллион рублей,"{'Вид цены': '\n8 Постоянные цены 2011 года', 'Период': '59 IV квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,,385 миллион рублей,"{'Вид цены': '\n8 Постоянные цены 2011 года', 'Период': '1558883 значение показателя за год'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,21446418.8,385 миллион рублей,"{'Вид цены': '\n9 Постоянные цены 2016 года', 'Период': '54 I квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,21574257.6,385 миллион рублей,"{'Вид цены': '\n9 Постоянные цены 2016 года', 'Период': '56 II квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,23288904.0,385 миллион рублей,"{'Вид цены': '\n9 Постоянные цены 2016 года', 'Период': '58 III квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,25913376.5,385 миллион рублей,"{'Вид цены': '\n9 Постоянные цены 2016 года', 'Период': '59 IV квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,92222956.8,385 миллион рублей,"{'Вид цены': '\n9 Постоянные цены 2016 года', 'Период': '1558883 значение показателя за год'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,30917340.2,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '54 I квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,31389183.9,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '56 II квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,33460763.0,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '58 III квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,37025652.7,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '59 IV квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,132792939.8,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '1558883 значение показателя за год'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '54 I квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '56 II квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '58 III квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '59 IV квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n10 Постоянные цены 2021 года', 'Период': '1558883 значение показателя за год'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,37137706.4,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '54 I квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,37406165.1,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '56 II квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,39156055.2,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '58 III квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,43240996.6,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '59 IV квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация,Российская Федерация,2022,quarter,156940923.2,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '1558883 значение показателя за год'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,[]
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '54 I квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '56 II квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '58 III квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '59 IV квартал'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
fedstat,57319,57319,ВВП,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов (с 01.01.2023),2022,quarter,,385 миллион рублей,"{'Вид цены': '\n1 Текущие цены', 'Период': '1558883 значение показателя за год'}",https://www.fedstat.ru/indicator/57319,2026-05-12T06:39:18Z,['missing_value']
